id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
636,bundi,"[48,45,56,43]","[""ɓ"",""u"",""nd"",""i""]",0,NOUN,PERFECT,,
576,bustani,"[48,45,61,58,41,55,43]","[""ɓ"",""u"",""s"",""t"",""ɑ"",""n"",""i""]",0,NOUN,PERFECT,,
553,busu,"[48,45,61,45]","[""ɓ"",""u"",""s"",""u""]",0,NOUN,PERFECT,,
581,bwawa,"[48,76,41,76,41]","[""ɓ"",""w"",""ɑ"",""w"",""ɑ""]",0,NOUN,NON_PHONEMIC,,
373,chaki,"[67,41,73,43]","[""tʃ"",""ɑ"",""k"",""i""]",0,,PERFECT,,
566,changanya,"[67,41,71,41,55,69,41]","[""tʃ"",""ɑ"",""ŋɡ"",""ɑ"",""n"",""j"",""ɑ""]",0,VERB,HIGHLY_PHONEMIC,,
372,chapati,"[67,41,49,41,58,43]","[""tʃ"",""ɑ"",""p"",""ɑ"",""t"",""i""]",0,,HIGHLY_PHONEMIC,,
519,chimba,"[67,43,47,41]","[""tʃ"",""i"",""mb"",""ɑ""]",0,VERB,PERFECT,,
374,chungu,"[67,45,55,72,45]","[""tʃ"",""u"",""n"",""ɠ"",""u""]",0,NOUN,PERFECT,,
371,chungwa,"[67,45,55,72,76,41]","[""tʃ"",""u"",""n"",""ɠ"",""w"",""ɑ""]",0,NOUN,HIGHLY_PHONEMIC,,
638,chupa,"[67,45,49,41]","[""tʃ"",""u"",""p"",""ɑ""]",0,NOUN,PERFECT,,
369,chura,"[67,45,62,41]","[""tʃ"",""u"",""ɾ"",""ɑ""]",0,NOUN,PERFECT,,
261,dada,"[57,41,57,41]","[""ɗ"",""ɑ"",""ɗ"",""ɑ""]",0,NOUN,PERFECT,,
313,dafu,"[57,41,52,45]","[""ɗ"",""ɑ"",""f"",""u""]",0,VERB,PERFECT,,
318,dalma,"[57,41,63,46,41]","[""ɗ"",""ɑ"",""l"",""m"",""ɑ""]",0,,PERFECT,,
315,dirisha,"[57,43,62,43,68,41]","[""ɗ"",""i"",""ɾ"",""i"",""ʃ"",""ɑ""]",0,NOUN,PERFECT,,
511,dokezo,"[57,44,73,42,60,44]","[""ɗ"",""ɔ"",""k"",""ɛ"",""z"",""ɔ""]",0,NOUN,PERFECT,,
314,duka,"[57,45,73,41]","[""ɗ"",""u"",""k"",""ɑ""]",0,NOUN,PERFECT,,
316,duma,"[57,45,46,41]","[""ɗ"",""u"",""m"",""ɑ""]",0,NOUN,PERFECT,,
322,eleza,"[42,63,42,60,41]","[""ɛ"",""l"",""ɛ"",""z"",""ɑ""]",0,VERB,PERFECT,,
324,elimu,"[42,63,43,46,45]","[""ɛ"",""l"",""i"",""m"",""u""]",0,NOUN,PERFECT,,
319,embe,"[42,46,48,42]","[""ɛ"",""m"",""ɓ"",""ɛ""]",0,ADJECTIVE,PERFECT,,
320,endesha,"[42,55,57,42,68,41]","[""ɛ"",""n"",""ɗ"",""ɛ"",""ʃ"",""ɑ""]",0,VERB,PERFECT,,
323,eneo,"[42,55,42,44]","[""ɛ"",""n"",""ɛ"",""ɔ""]",0,NOUN,PERFECT,,
229,fa,"[52,41]","[""f"",""ɑ""]",0,,PERFECT,,
325,fagio,"[52,41,72,43,44]","[""f"",""ɑ"",""ɠ"",""i"",""ɔ""]",0,NOUN,PERFECT,,
226,fahamu,"[52,41,77,41,46,45]","[""f"",""ɑ"",""h"",""ɑ"",""m"",""u""]",0,NOUN,PERFECT,,
328,faru,"[52,41,62,45]","[""f"",""ɑ"",""ɾ"",""u""]",0,NOUN,PERFECT,,
595,fedha,"[52,42,57,77,41]","[""f"",""ɛ"",""ɗ"",""h"",""ɑ""]",0,NOUN,PERFECT,,
234,fikiri,"[52,43,73,43,62,43]","[""f"",""i"",""k"",""i"",""ɾ"",""i""]",0,VERB,PERFECT,,
330,filimbi,"[52,43,63,43,47,43]","[""f"",""i"",""l"",""i"",""mb"",""i""]",0,NOUN,PERFECT,,
530,fueli,"[52,45,42,63,43]","[""f"",""u"",""ɛ"",""l"",""i""]",0,NOUN,PERFECT,,
564,fujo,"[52,45,66,44]","[""f"",""u"",""ʄ"",""ɔ""]",0,NOUN,PERFECT,,
607,fulana,"[52,45,63,41,55,41]","[""f"",""u"",""l"",""ɑ"",""n"",""ɑ""]",0,NOUN,PERFECT,,
329,funguo,"[52,45,55,72,45,44]","[""f"",""u"",""n"",""ɠ"",""u"",""ɔ""]",0,NOUN,PERFECT,,
331,furahi,"[52,45,62,41,77,43]","[""f"",""u"",""ɾ"",""ɑ"",""h"",""i""]",0,ADJECTIVE,PERFECT,,
506,gamba,"[72,41,47,41]","[""ɠ"",""ɑ"",""mb"",""ɑ""]",0,NOUN,PERFECT,,
332,gauni,"[72,41,45,55,43]","[""ɠ"",""ɑ"",""u"",""n"",""i""]",0,NOUN,PERFECT,,
532,gesi,"[72,42,61,43]","[""ɠ"",""ɛ"",""s"",""i""]",0,NOUN,PERFECT,,
338,gimbi,"[72,43,47,43]","[""ɠ"",""i"",""mb"",""i""]",0,,PERFECT,,
641,glasi,"[72,63,41,61,43]","[""ɠ"",""l"",""ɑ"",""s"",""i""]",0,NOUN,PERFECT,,
336,godoro,"[72,44,57,44,62,44]","[""ɠ"",""ɔ"",""ɗ"",""ɔ"",""ɾ"",""ɔ""]",0,NOUN,PERFECT,,
335,gogo,"[72,44,72,44]","[""ɠ"",""ɔ"",""ɠ"",""ɔ""]",0,,PERFECT,,
533,gundi,"[72,45,55,56,43]","[""ɠ"",""u"",""n"",""nd"",""i""]",0,NOUN,PERFECT,,
334,gunia,"[72,45,55,43,41]","[""ɠ"",""u"",""n"",""i"",""ɑ""]",0,NOUN,PERFECT,,
236,guta,"[72,45,58,41]","[""ɠ"",""u"",""t"",""ɑ""]",0,NOUN,PERFECT,,
691,hamsini,"[77,41,46,61,43,55,43]","[""h"",""ɑ"",""m"",""s"",""i"",""n"",""i""]",0,NOUN,PERFECT,,
254,hawa,"[77,41,76,41]","[""h"",""ɑ"",""w"",""ɑ""]",0,,PERFECT,,
343,hema,"[77,42,46,41]","[""h"",""ɛ"",""m"",""ɑ""]",0,NOUN,PERFECT,,
339,herufi,"[77,42,62,45,52,43]","[""h"",""ɛ"",""ɾ"",""u"",""f"",""i""]",0,NOUN,PERFECT,,
345,hongera,"[77,44,55,72,42,62,41]","[""h"",""ɔ"",""n"",""ɠ"",""ɛ"",""ɾ"",""ɑ""]",0,,PERFECT,,
344,hospitali,"[77,44,61,49,43,58,41,63,43]","[""h"",""ɔ"",""s"",""p"",""i"",""t"",""ɑ"",""l"",""i""]",0,NOUN,PERFECT,,
526,imarisha,"[43,46,41,62,43,68,41]","[""i"",""m"",""ɑ"",""ɾ"",""i"",""ʃ"",""ɑ""]",0,VERB,PERFECT,,
347,imba,"[43,47,41]","[""i"",""mb"",""ɑ""]",0,NOUN,PERFECT,,
348,ini,"[43,55,43]","[""i"",""n"",""i""]",0,NOUN,PERFECT,,
349,injini,"[43,55,66,43,55,43]","[""i"",""n"",""ʄ"",""i"",""n"",""i""]",0,NOUN,PERFECT,,
228,ishi,"[43,68,43]","[""i"",""ʃ"",""i""]",0,,PERFECT,,
688,ishirini,"[43,68,43,62,43,55,43]","[""i"",""ʃ"",""i"",""ɾ"",""i"",""n"",""i""]",0,NOUN,PERFECT,,
