id,content_type,content_license,attribution_url,title,cid,download_url,image_format
230,image/jpg,,,storybook-18-ch-4,,/image/230_r2.jpg,JPG
231,image/jpg,,,storybook-18-ch-5,,/image/231_r4.jpg,JPG
232,image/jpg,,,storybook-18-ch-6,,/image/232_r1.jpg,JPG
233,image/jpg,,,storybook-18-ch-7,,/image/233_r1.jpg,JPG
234,image/jpg,,,storybook-18-ch-8,,/image/234_r2.jpg,JPG
235,image/jpg,,,storybook-19-cover,,/image/235_r2.jpg,JPG
237,image/jpg,,,storybook-19-ch-2,,/image/237_r3.jpg,JPG
238,image/jpg,,,storybook-19-ch-3,,/image/238_r3.jpg,JPG
239,image/jpg,,,storybook-19-ch-4,,/image/239_r1.jpg,JPG
240,image/jpg,,,storybook-19-ch-5,,/image/240_r1.jpg,JPG
241,image/jpg,,,storybook-19-ch-6,,/image/241_r1.jpg,JPG
242,image/jpg,,,storybook-19-ch-7,,/image/242_r3.jpg,JPG
243,image/jpg,,,storybook-19-ch-8,,/image/243_r2.jpg,JPG
244,image/jpg,,,storybook-19-ch-9,,/image/244_r1.jpg,JPG
245,image/jpg,,,storybook-19-ch-10,,/image/245_r1.jpg,JPG
246,image/jpg,,,storybook-19-ch-11,,/image/246_r1.jpg,JPG
247,image/jpg,,,storybook-19-ch-12,,/image/247_r2.jpg,JPG
249,image/jpg,,,storybook-20-cover,,/image/249_r4.jpg,JPG
250,image/jpg,,,storybook-20-ch-1,,/image/250_r4.jpg,JPG
251,image/jpg,,,storybook-20-ch-2,,/image/251_r5.jpg,JPG
252,image/jpg,,,storybook-20-ch-3,,/image/252_r3.jpg,JPG
253,image/jpg,,,storybook-20-ch-4,,/image/253_r4.jpg,JPG
254,image/jpg,,,storybook-20-ch-5,,/image/254_r4.jpg,JPG
255,image/jpg,,,storybook-20-ch-6,,/image/255_r4.jpg,JPG
256,image/jpg,,,storybook-20-ch-7,,/image/256_r2.jpg,JPG
257,image/jpg,,,storybook-20-ch-8,,/image/257_r3.jpg,JPG
258,image/jpg,,,storybook-20-ch-9,,/image/258_r1.jpg,JPG
259,image/jpg,,,storybook-20-ch-10,,/image/259_r3.jpg,JPG
260,image/jpg,,,storybook-20-ch-11,,/image/260_r3.jpg,JPG
261,image/jpg,,,storybook-20-ch-12,,/image/261_r3.jpg,JPG
262,image/jpg,,,storybook-20-ch-13,,/image/262_r3.jpg,JPG
263,image/jpg,,,storybook-20-ch-14,,/image/263_r2.jpg,JPG
264,image/jpg,,,storybook-21-cover,,/image/264_r2.jpg,JPG
265,image/jpg,,,storybook-21-ch-1,,/image/265_r1.jpg,JPG
266,image/jpg,,,storybook-21-ch-2,,/image/266_r1.jpg,JPG
267,image/jpg,,,storybook-21-ch-3,,/image/267_r2.jpg,JPG
268,image/jpg,,,storybook-21-ch-4,,/image/268_r1.jpg,JPG
269,image/jpg,,,storybook-21-ch-5,,/image/269_r1.jpg,JPG
270,image/jpg,,,storybook-21-ch-6,,/image/270_r2.jpg,JPG
271,image/jpg,,,storybook-21-ch-7,,/image/271_r1.jpg,JPG
272,image/jpg,,,storybook-21-ch-8,,/image/272_r1.jpg,JPG
273,image/jpg,,,storybook-21-ch-9,,/image/273_r1.jpg,JPG
274,image/jpg,,,storybook-21-ch-10,,/image/274_r1.jpg,JPG
275,image/jpg,,,storybook-21-ch-11,,/image/275_r1.jpg,JPG
276,image/jpg,,,storybook-21-ch-12,,/image/276_r2.jpg,JPG
277,image/jpg,,,storybook-21-ch-13,,/image/277_r1.jpg,JPG
278,image/jpg,,,storybook-21-ch-14,,/image/278_r1.jpg,JPG
279,image/jpg,,,storybook-21-ch-15,,/image/279_r5.jpg,JPG
280,image/jpg,,,storybook-21-ch-16,,/image/280_r1.jpg,JPG
281,image/jpg,,,storybook-21-ch-17,,/image/281_r5.jpg,JPG
282,image/jpg,,,storybook-21-ch-18,,/image/282_r1.jpg,JPG
283,image/jpg,,,storybook-21-ch-19,,/image/283_r1.jpg,JPG
285,image/jpg,,,storybook-22-cover,,/image/285_r4.jpg,JPG
286,image/jpg,,,storybook-22-ch-1,,/image/286_r1.jpg,JPG
287,image/jpg,,,storybook-22-ch-2,,/image/287_r1.jpg,JPG
288,image/jpg,,,storybook-22-ch-3,,/image/288_r1.jpg,JPG
