id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
80,pito,"[{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1258},{""sounds"":[""t""],""id"":7,""letters"":[""t""],""usageCount"":1067},{""sounds"":[""ɔː""],""id"":31,""letters"":[""o""],""usageCount"":138}]",0,NUMBER,,,
81,sampu,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":588},{""sounds"":[""p""],""id"":10,""letters"":[""p""],""usageCount"":579},{""sounds"":[""uː""],""id"":33,""letters"":[""u""],""usageCount"":157}]",0,NUMBER,,,
82,sana,[],0,,PERFECT,,
83,sero,"[{""sounds"":[""s""],""id"":6,""letters"":[""s""],""usageCount"":1556},{""sounds"":[""ɛː""],""id"":34,""letters"":[""e""],""usageCount"":28},{""sounds"":[""r""],""id"":12,""letters"":[""r""],""usageCount"":387},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041}]",0,NUMBER,,,
84,siyam,"[{""sounds"":[""ʃ""],""id"":24,""letters"":[""s"",""i"",""y""],""usageCount"":129},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":588}]",1,NUMBER,NON_PHONEMIC,,
85,tatlumpu,[],0,,PERFECT,,
86,walo,"[{""sounds"":[""w""],""id"":19,""letters"":[""w""],""usageCount"":218},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɔː""],""id"":31,""letters"":[""o""],""usageCount"":138}]",0,NUMBER,,,
87,lalabas,[],0,VERB,PERFECT,,
88,pala,[],0,,PERFECT,,
89,iyon,"[{""sounds"":[""ɪ""],""id"":14,""letters"":[""i""],""usageCount"":1258},{""sounds"":[""j""],""id"":3,""letters"":[""y""],""usageCount"":839},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958}]",21,,,,
90,may,"[{""sounds"":[""m""],""id"":18,""letters"":[""m""],""usageCount"":588},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""j""],""id"":3,""letters"":[""y""],""usageCount"":839}]",58,,PERFECT,,
91,lang,"[{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""ŋ""],""id"":23,""letters"":[""n"",""g""],""usageCount"":1782}]",26,,NON_PHONEMIC,,
92,yon,[],0,,PERFECT,,
93,balon,"[{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743},{""sounds"":[""l""],""id"":16,""letters"":[""l""],""usageCount"":711},{""sounds"":[""ɔ""],""id"":9,""letters"":[""o""],""usageCount"":1041},{""sounds"":[""n""],""id"":5,""letters"":[""n""],""usageCount"":1958}]",3,NOUN,,,
94,ba,"[{""sounds"":[""b""],""id"":4,""letters"":[""b""],""usageCount"":543},{""sounds"":[""ɑ""],""id"":1,""letters"":[""a""],""usageCount"":5743}]",47,,PERFECT,,
