id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
88,football,"[78,25,9,18,79,20,2,34]","[""ˈ"",""f"",""ʊ"",""t"",""ˌ"",""b"",""ɔ"",""l""]",3,NOUN,NON_PHONEMIC
38,jump,"[24,6,35,17]","[""dʒ"",""ʌ"",""m"",""p""]",3,,
126,must,"[35,6,29,18]","[""m"",""ʌ"",""s"",""t""]",3,,
450,park,"[17,1,38,19]","[""p"",""ɑ"",""r"",""k""]",3,,
451,pay,"[17,7,8]","[""p"",""ɛ"",""ɪ""]",3,,
470,sad,"[29,5,21]","[""s"",""æ"",""d""]",3,,
476,sing,"[29,8,37]","[""s"",""ɪ"",""ŋ""]",3,VERB,NON_PHONEMIC
107,sister,"[78,29,8,29,18,10,38]","[""ˈ"",""s"",""ɪ"",""s"",""t"",""ə"",""r""]",3,,
671,smile,"[29,35,1,8,34]","[""s"",""m"",""ɑ"",""ɪ"",""l""]",3,,
4,three,"[27,38,4]","[""θ"",""r"",""i""]",3,,
117,came,"[19,7,8,35]","[""k"",""ɛ"",""ɪ"",""m""]",2,,
92,ear,"[4,38]","[""i"",""r""]",2,,
91,elephant,"[78,7,34,10,25,10,36,18]","[""ˈ"",""ɛ"",""l"",""ə"",""f"",""ə"",""n"",""t""]",2,,
399,feet,"[25,4,18]","[""f"",""i"",""t""]",2,,
89,fun,"[25,6,36]","[""f"",""ʌ"",""n""]",2,,
77,girl,"[22,6,38,34]","[""g"",""ʌ"",""r"",""l""]",2,,
410,goal,"[22,10,9,34]","[""g"",""ə"",""ʊ"",""l""]",2,,
623,green,"[22,38,4,36]","[""g"",""r"",""i"",""n""]",2,,
663,hand,"[33,5,36,21]","[""h"",""æ"",""n"",""d""]",2,,
418,hug,"[33,6,22]","[""h"",""ʌ"",""g""]",2,,
41,make,"[35,7,8,19]","[""m"",""ɛ"",""ɪ"",""k""]",2,,
440,mouth,"[35,12,27]","[""m"",""aʊ"",""θ""]",2,,
444,neck,"[36,7,19]","[""n"",""ɛ"",""k""]",2,NOUN,
446,oil,"[13,34]","[""ɔɪ"",""l""]",2,,
448,paint,"[17,7,8,36,18]","[""p"",""ɛ"",""ɪ"",""n"",""t""]",2,,
7,six,"[29,8,19,29]","[""s"",""ɪ"",""k"",""s""]",2,,
676,ten,"[18,7,36]","[""t"",""ɛ"",""n""]",2,,
147,under,"[78,6,36,21,10,38]","[""ˈ"",""ʌ"",""n"",""d"",""ə"",""r""]",2,,
494,zoo,"[30,3]","[""z"",""u""]",2,,
67,bird,"[20,6,38,21]","[""b"",""ʌ"",""r"",""d""]",1,,
114,black,"[20,34,5,19]","[""b"",""l"",""æ"",""k""]",1,,
379,box,"[20,1,19,29]","[""b"",""ɑ"",""k"",""s""]",1,,
387,cook,"[19,9,19]","[""k"",""ʊ"",""k""]",1,,
96,education,"[79,7,24,10,78,19,7,8,31,10,36]","[""ˌ"",""ɛ"",""dʒ"",""ə"",""ˈ"",""k"",""ɛ"",""ɪ"",""ʃ"",""ə"",""n""]",1,,
85,face,"[25,6,8,29]","[""f"",""ʌ"",""ɪ"",""s""]",1,,
398,fat,"[25,5,18]","[""f"",""æ"",""t""]",1,,
619,flower,"[78,25,34,12,10,38]","[""ˈ"",""f"",""l"",""aʊ"",""ə"",""r""]",1,,
405,fork,"[25,2,38,19]","[""f"",""ɔ"",""r"",""k""]",1,,
5,four,"[25,2,38]","[""f"",""ɔ"",""r""]",1,,
621,fruit,"[25,38,3,18]","[""f"",""r"",""u"",""t""]",1,,
665,glasses,"[78,22,34,5,29,8,30]","[""ˈ"",""g"",""l"",""æ"",""s"",""ɪ"",""z""]",1,,
121,good,"[22,9,21]","[""g"",""ʊ"",""d""]",1,,
78,grass,"[22,38,5,29]","[""g"",""r"",""æ"",""s""]",1,,
413,hen,"[33,7,36]","[""h"",""ɛ"",""n""]",1,,
417,hot,"[33,1,18]","[""h"",""ɑ"",""t""]",1,ADJECTIVE,HIGHLY_PHONEMIC
657,ice,[],[],1,,
423,join,"[24,13,36]","[""dʒ"",""ɔɪ"",""n""]",1,,
425,kick,"[19,8,19]","[""k"",""ɪ"",""k""]",1,,
133,please,"[17,34,4,30]","[""p"",""l"",""i"",""z""]",1,,
468,road,"[38,2,9,21]","[""r"",""ɔ"",""ʊ"",""d""]",1,,
159,sheep,"[31,4,17]","[""ʃ"",""i"",""p""]",1,,
473,shout,"[31,12,18]","[""ʃ"",""aʊ"",""t""]",1,,
471,sit,"[29,8,18]","[""s"",""ɪ"",""t""]",1,,
483,thin,"[27,8,36]","[""θ"",""ɪ"",""n""]",1,,
626,water,"[78,39,2,18,10,38]","[""ˈ"",""w"",""ɔ"",""t"",""ə"",""r""]",1,,
150,well,"[39,7,34]","[""w"",""ɛ"",""l""]",1,,
489,wet,"[39,7,18]","[""w"",""ɛ"",""t""]",1,,
662,window,"[39,8,36,21,2,9]","[""w"",""ɪ"",""n"",""d"",""ɔ"",""ʊ""]",1,,
60,africa,"[78,5,25,38,10,19,10]","[""ˈ"",""æ"",""f"",""r"",""ə"",""k"",""ə""]",0,,
58,ant,"[5,36,18]","[""æ"",""n"",""t""]",0,,
57,apple,"[78,5,17,10,34]","[""ˈ"",""æ"",""p"",""ə"",""l""]",0,,
61,avocado,"[79,5,26,10,78,19,1,21,2,9]","[""ˌ"",""æ"",""v"",""ə"",""ˈ"",""k"",""ɑ"",""d"",""ɔ"",""ʊ""]",0,,
64,banana,"[20,10,78,36,5,36,10]","[""b"",""ə"",""ˈ"",""n"",""æ"",""n"",""ə""]",0,,
617,bat,"[20,5,18]","[""b"",""æ"",""t""]",0,,
375,bee,"[20,4]","[""b"",""i""]",0,,
376,boat,"[20,10,9,18]","[""b"",""ə"",""ʊ"",""t""]",0,,
377,boil,"[20,2,8,34]","[""b"",""ɔ"",""ɪ"",""l""]",0,,
62,boy,"[20,2,8]","[""b"",""ɔ"",""ɪ""]",0,,
68,brilliant,"[78,20,38,8,34,40,10,36,18]","[""ˈ"",""b"",""r"",""ɪ"",""l"",""j"",""ə"",""n"",""t""]",0,,
106,brother,"[78,20,38,6,28,10,38]","[""ˈ"",""b"",""r"",""ʌ"",""ð"",""ə"",""r""]",0,,
115,brown,"[20,38,12,36]","[""b"",""r"",""aʊ"",""n""]",0,,
73,candle,"[78,19,5,36,21,10,34]","[""ˈ"",""k"",""æ"",""n"",""d"",""ə"",""l""]",0,,
380,cap,"[19,5,17]","[""k"",""æ"",""p""]",0,,
381,chick,"[23,8,19]","[""tʃ"",""ɪ"",""k""]",0,,
382,chin,"[23,8,36]","[""tʃ"",""ɪ"",""n""]",0,,
620,circle,"[78,29,7,38,19,10,34]","[""ˈ"",""s"",""ɛ"",""r"",""k"",""ə"",""l""]",0,,
383,cliff,"[19,34,8,25]","[""k"",""l"",""ɪ"",""f""]",0,,
384,cloth,"[19,34,2,27]","[""k"",""l"",""ɔ"",""θ""]",0,,
673,cloud,"[19,34,12,21]","[""k"",""l"",""aʊ"",""d""]",0,,
385,clue,"[19,34,3]","[""k"",""l"",""u""]",0,,
71,coconut,"[78,19,2,9,19,10,79,36,6,18]","[""ˈ"",""k"",""ɔ"",""ʊ"",""k"",""ə"",""ˌ"",""n"",""ʌ"",""t""]",0,,
386,coin,"[19,2,8,36]","[""k"",""ɔ"",""ɪ"",""n""]",0,,
74,computer,"[19,10,35,78,17,40,3,18,10,38]","[""k"",""ə"",""m"",""ˈ"",""p"",""j"",""u"",""t"",""ə"",""r""]",0,,
75,cool,"[19,3,34]","[""k"",""u"",""l""]",0,,
388,corn,"[19,2,38,36]","[""k"",""ɔ"",""r"",""n""]",0,,
389,cup,"[19,6,17]","[""k"",""ʌ"",""p""]",0,,
392,desk,"[21,7,29,19]","[""d"",""ɛ"",""s"",""k""]",0,,
393,die,[],[],0,,
394,dig,"[21,8,22]","[""d"",""ɪ"",""g""]",0,,
100,dinosaur,"[78,21,1,8,36,10,79,29,2,38]","[""ˈ"",""d"",""ɑ"",""ɪ"",""n"",""ə"",""ˌ"",""s"",""ɔ"",""r""]",0,,
659,dirt,"[21,7,38,18]","[""d"",""ɛ"",""r"",""t""]",0,,
395,dish,"[21,8,31]","[""d"",""ɪ"",""ʃ""]",0,,
628,drink,"[21,38,8,37,19]","[""d"",""r"",""ɪ"",""ŋ"",""k""]",0,,
