id,text,allophone_ids,allophone_values_ipa,letter_to_allophone_mappings,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
374,pagkatapos,"[9,29,22,1,7,1,8,9,6,7]","[""p"",""ʔ"",""g"",""ɑ"",""t"",""ɑ"",""ː"",""p"",""ɔ"",""t""]","[{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079}]",15,,PERFECT,,
291,dalawang,"[17,1,13,1,18,23,1,8,3]","[""d"",""ɑ"",""l"",""ɑ"",""ˈ"",""w"",""ɑ"",""ː"",""ŋ""]","[{""allophones"":""d"",""id"":15,""letters"":""d"",""usageCount"":204},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""w"",""id"":19,""letters"":""w"",""usageCount"":93},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",14,NUMBER,PHONEMIC,30,dalawa
31,isa,"[14,2,1]","[""ɪ"",""s"",""ɑ""]",[],14,NUMBER,PERFECT,,
276,itong,"[14,18,7,6,8,3]","[""ɪ"",""ˈ"",""t"",""ɔ"",""ː"",""ŋ""]","[{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",14,,PHONEMIC,227,ito
229,ka,"[15,1]","[""k"",""ɑ""]",[],14,,PERFECT,,
260,maaari,"[16,1,27,1,27,1,8,12,14]","[""m"",""ɑ"",""."",""ɑ"",""."",""ɑ"",""ː"",""r"",""ɪ""]","[{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""r"",""id"":12,""letters"":""r"",""usageCount"":211},{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675}]",14,ADJECTIVE,PERFECT,,
388,maglaro,"[16,1,22,13,1,18,12,6,8]","[""m"",""ɑ"",""g"",""l"",""ɑ"",""ˈ"",""r"",""ɔ"",""ː""]","[{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""r"",""id"":12,""letters"":""r"",""usageCount"":211},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601}]",14,VERB,PERFECT,,
315,mula,"[16,11,18,13,1]","[""m"",""u"",""ˈ"",""l"",""ɑ""]","[{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",14,PREPOSITION,PERFECT,,
393,naman,"[5,1,18,16,1,8,5]","[""n"",""ɑ"",""ˈ"",""m"",""ɑ"",""ː"",""n""]","[{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116}]",14,,PERFECT,,
397,sagot,"[2,1,18,22,6,8,7]","[""s"",""ɑ"",""ˈ"",""g"",""ɔ"",""ː"",""t""]","[{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707}]",14,NOUN,PERFECT,,
